prompt_type,TP,FP,FN,precision,recall,f1_score,hallucination_rate,owner_accuracy,deadline_accuracy
generic,7,1,1,0.875,0.875,0.875,0.125,1.0,1.0
structured,8,0,0,1.0,1.0,1.0,0.0,1.0,0.8
